,url,numero,tipo,lugar,descripcion,importe,fecha,procedimiento,situacion
10,https://www.gipuzkoa.eus/es/web/ogasuna/-/18387218,209,Local,Donostia,"LOCAL en planta baja, de la casa número once de la Calzada de Egia, de esta Ciudad de San Sebastián. Ocupa una superficie de 68 m2.","107.229,12 €","Primera licitación, 04/11/2020 y segunda licitación, 06/11/2020","Subasta: Primera Licitación, procedimiento de presentación ofertas en sobre cerrado; y, segunda licitación mediante sucesivas pujas de viva voz.",Adjudicada
11,https://www.gipuzkoa.eus/es/web/ogasuna/-/19893349,211,Vivienda y terreno,Urnieta,"Vivienda unifamiliar de 4 plantas en un terreno de 20.035 m2, en el barrio de Ergoien nº 10.","674.838,98 €","Primera licitación, 04/11/2020 y segunda licitación 06/11/2020","Subasta: Primera Licitación, procedimiento de presentación ofertas en sobre cerrado; y, segunda licitación mediante sucesivas pujas de viva voz.",Desierta
12,https://www.gipuzkoa.eus/es/web/ogasuna/-/18342148,210,Local,Donostia,"Local Comercial. Travesía de Manteo 21, casa número 2. 46 m2","48.924,34 €","Primera licitación, 04/11/2020 y segunda licitación, 06/11/2020","Subasta: primera licitación, procedimiento de presentación ofertas en sobre cerrado; y, segunda licitación mediante sucesivas pujas de viva voz.",Adjudicada
13,https://www.gipuzkoa.eus/es/web/ogasuna/-/13620680,208,Trastero,Beasain,"TRASTERO Nº 20, de la casa número 17 de la Avenida de Navarra de Beasain. Superficie: 3,84 m2.","2.270,00 €","Primera licitación, 25/03/2020,  y segunda licitación: 27/03/2020","Subasta: Primera Licitación, procedimiento de presentación ofertas en sobre cerrado; y, segunda licitación mediante sucesivas pujas de viva voz.",Anulada
14,https://www.gipuzkoa.eus/es/web/ogasuna/-/13620663,207,Trastero,Beasain,"TRASTERO Nº 19, de la casa número 17 de la Avenida de Navarra de Beasain. Superficie: 13,88 m2.","5.260,00 €","Primera licitación, 25/03/2020,  y segunda licitación: 27/03/2020","Subasta: Primera Licitación, procedimiento de presentación ofertas en sobre cerrado; y, segunda licitación mediante sucesivas pujas de viva voz.",Anulada
15,https://www.gipuzkoa.eus/es/web/ogasuna/-/13620655,206,Trastero,Beasain,"TRASTERO Nº 11, de la casa número 17 de la Avenida de Navarra de Beasain. Superficie: 5,93 m2.","3.060,00 €",Lehen lizitazioa: 2020/03/25; eta bigarrena: 2020/03/27,"Subasta: Primera Licitación, procedimiento de presentación ofertas en sobre cerrado; y, segunda licitación mediante sucesivas pujas de viva voz.",Anulada
16,https://www.gipuzkoa.eus/es/web/ogasuna/-/13620632,205,Trastero,Beasain,"TRASTERO Nº 14, de la casa número 17 de la Avenida de Navarra de Beasain. Superficie: 12,35 m2.","4.880,00 €","Primera licitación, 25/03/2020,  y segunda licitación: 27/03/2020","Subasta: Primera Licitación, procedimiento de presentación ofertas en sobre cerrado; y, segunda licitación mediante sucesivas pujas de viva voz.",Anulada
17,https://www.gipuzkoa.eus/es/web/ogasuna/-/13620625,204,Terreno,Estepona,"Parcela de terreno radicante en el término municipal de Estepona, procede de la Urbanización Finca Pernet y de las parcelas que en la misma urbanización están señaladas con los números 21.22.20.23. Comprende una extensión superficial total de novecientos cuatro metros cuadrados","257.740,00 €","Primera licitación, 25/03/2020,  y segunda licitación: 27/03/2020","Subasta: Primera Licitación, procedimiento de presentación ofertas en sobre cerrado; y, segunda licitación mediante sucesivas pujas de viva voz.",Anulada
18,https://www.gipuzkoa.eus/es/web/ogasuna/-/13620598,203,Terreno,Benahavís,"Parcela de terreno señalada con el número doscientos treinta y siete, procedente de la finca conocida como Sector “C” del Paln Parcial conocido como “El Herrojo”. Tiene una superficie de MIL SESENTA Y DOS METROS NOVENTA Y SEIS DECIMETROS CUADRADOS","311.460,00 €","Primera licitación, 25/03/2020,  y segunda licitación: 27/03/2020","Subasta: Primera Licitación, procedimiento de presentación ofertas en sobre cerrado; y, segunda licitación mediante sucesivas pujas de viva voz.",Anulada
19,https://www.gipuzkoa.eus/es/web/ogasuna/-/13620589,202,Terreno,Azkoitia,Parcela privada destinada a uso hotelero. Edificabilidad 3.158 m2,"555.666,20 €","Primera licitación, 25/03/2020,  y segunda licitación: 27/03/2020","Subasta: Primera Licitación, procedimiento de presentación ofertas en sobre cerrado; y, segunda licitación mediante sucesivas pujas de viva voz.",Anulada
